accession
gi|136429_pep00002|sp
gi|136429_pep00005|sp
gi|136429_pep00007|sp
sp|A0A075B759_pep00001|PAL4E_HUMAN
sp|A0A075B759_pep00003|PAL4E_HUMAN
sp|A0A075B767_pep00001|PAL4H_HUMAN
sp|A0A075B767_pep00003|PAL4H_HUMAN
sp|A0A096LNW5_pep00005|NT2NR_HUMAN
sp|A0A0B4J2A2_pep00001|PAL4C_HUMAN
sp|A0A0B4J2A2_pep00003|PAL4C_HUMAN
sp|A0A1B0GTU1_pep00016|ZC11B_HUMAN
sp|A0A1B0GUS4_pep00001|UB2L5_HUMAN
sp|A0A1B0GUS4_pep00003|UB2L5_HUMAN
sp|A0A1B0GUS4_pep00007|UB2L5_HUMAN
sp|A0A2R8Y4L2_pep00002|RA1L3_HUMAN
sp|A0A2R8Y4L2_pep00004|RA1L3_HUMAN
sp|A0A2R8Y4L2_pep00007|RA1L3_HUMAN
sp|A0A2R8Y4L2_pep00011|RA1L3_HUMAN
sp|A0A2R8Y4L2_pep00013|RA1L3_HUMAN
sp|A0A2R8Y4L2_pep00017|RA1L3_HUMAN
sp|A0A2R8Y4L2_pep00019|RA1L3_HUMAN
sp|A0A2R8Y4L2_pep00023|RA1L3_HUMAN
sp|A0A2R8Y4L2_pep00025|RA1L3_HUMAN
sp|A0A2R8Y4L2_pep00026|RA1L3_HUMAN
sp|A0A2R8Y4L2_pep00029|RA1L3_HUMAN
sp|A0A2R8Y4L2_pep00030|RA1L3_HUMAN
sp|A0A2R8Y4L2_pep00031|RA1L3_HUMAN
sp|A0A2R8Y619_pep00003|H2BK1_HUMAN
sp|A0A3B3IRV3_pep00004|MCTS2_HUMAN
sp|A0A3B3IRV3_pep00008|MCTS2_HUMAN
sp|A0A8I5KQE6_pep00001|RPSA2_HUMAN
sp|A0A8I5KQE6_pep00003|RPSA2_HUMAN
sp|A0A8I5KQE6_pep00006|RPSA2_HUMAN
sp|A0A8I5KQE6_pep00008|RPSA2_HUMAN
sp|A0A8I5KQE6_pep00009|RPSA2_HUMAN
sp|A0A8I5KQE6_pep00012|RPSA2_HUMAN
sp|A0A8I5KQE6_pep00014|RPSA2_HUMAN
sp|A0AV96_pep00022|RBM47_HUMAN
sp|A0AV96_pep00023|RBM47_HUMAN
sp|A0AV96_pep00027|RBM47_HUMAN
sp|A0AVI2_pep00001|FR1L5_HUMAN
sp|A0AVT1_pep00005|UBA6_HUMAN
sp|A0AVT1_pep00007|UBA6_HUMAN
sp|A0AVT1_pep00036|UBA6_HUMAN
sp|A0AVT1_pep00038|UBA6_HUMAN
sp|A0AVT1_pep00057|UBA6_HUMAN
sp|A0AVT1_pep00074|UBA6_HUMAN
sp|A0AVT1_pep00082|UBA6_HUMAN
sp|A0AVT1_pep00084|UBA6_HUMAN
sp|A0FGR8_p_target_pep00021|ESYT2_HUMAN_p_target
sp|A0FGR8_pep00005|ESYT2_HUMAN
sp|A0FGR8_pep00013|ESYT2_HUMAN
sp|A0FGR8_pep00017|ESYT2_HUMAN
sp|A0FGR8_pep00021|ESYT2_HUMAN
sp|A0FGR8_pep00029|ESYT2_HUMAN
sp|A0FGR8_pep00033|ESYT2_HUMAN
sp|A0FGR8_pep00037|ESYT2_HUMAN
sp|A0FGR8_pep00051|ESYT2_HUMAN
sp|A0MZ66_pep00004|SHOT1_HUMAN
sp|A0MZ66_pep00012|SHOT1_HUMAN
sp|A0MZ66_pep00014|SHOT1_HUMAN
sp|A0MZ66_pep00023|SHOT1_HUMAN
sp|A0MZ66_pep00025|SHOT1_HUMAN
sp|A0MZ66_pep00030|SHOT1_HUMAN
sp|A0MZ66_pep00032|SHOT1_HUMAN
sp|A0MZ66_pep00040|SHOT1_HUMAN
sp|A0MZ66_pep00047|SHOT1_HUMAN
sp|A0PJW6_pep00005|TM223_HUMAN
sp|A1L0T0_pep00001|HACL2_HUMAN
sp|A1L0T0_pep00015|HACL2_HUMAN
sp|A1L0T0_pep00036|HACL2_HUMAN
sp|A2A3N6_pep00001|PIPSL_HUMAN
sp|A2A3N6_pep00002|PIPSL_HUMAN
sp|A2A3N6_pep00006|PIPSL_HUMAN
sp|A2A3N6_pep00016|PIPSL_HUMAN
sp|A2RTX5_pep00001|SYTC2_HUMAN
sp|A2RTX5_pep00004|SYTC2_HUMAN
sp|A3KMH1_p_target_pep00019|VWA8_HUMAN_p_target
sp|A3KMH1_pep00013|VWA8_HUMAN
sp|A3KMH1_pep00087|VWA8_HUMAN
sp|A3KMH1_pep00125|VWA8_HUMAN
sp|A3KN83_pep00055|SBNO1_HUMAN
sp|A3KN83_pep00057|SBNO1_HUMAN
sp|A4D1E9_pep00018|GTPBA_HUMAN
sp|A4D2H0_pep00003|CTGEF_HUMAN
sp|A4D2H0_pep00011|CTGEF_HUMAN
sp|A5A3E0_pep00001|POTEF_HUMAN
